Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Large Cap","50V 2200uF capacitor for smoothing across power lines",1,12.76,"https://www.aliexpress.com/item/1005005380342459.html?spm=a2g0o.productlist.main.1.1cb3wyyqwyyqgA&algo_pvid=0e70eac5-46e9-46e6-a3a2-8b9773f8851b&algo_exp_id=0e70eac5-46e9-46e6-a3a2-8b9773f8851b-0&pdp_ext_f=%7B%22order%22%3A%22161%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2114.12%217.00%21%21%219.92%214.92%21%402101e81117721554588813670e5db8%2112000032819089773%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838525&curPageLogUid=RPVryHdchNX4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005380342459%7C_p_origin_prod%3A","Aliexpress"
"MT6701","The MT6701 is the encoder to track the position of the wheel rim.",1,3.27,"https://www.aliexpress.com/item/1005010143099990.html?spm=a2g0o.productlist.main.6.f71b6d7eaJZaGf&algo_pvid=75d2c31f-2426-4c4f-a325-0492f0b931a5&algo_exp_id=75d2c31f-2426-4c4f-a325-0492f0b931a5-5&pdp_ext_f=%7B%22order%22%3A%22143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%214.35%211.42%21%21%213.04%210.99%21%402101f11417712044155591620ecc83%2112000051300485458%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843456&curPageLogUid=xzfgW3svUKzg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010143099990%7C_p_origin_prod%3A","Aliexpress"
"STM32","STM32 is the wheelbase PCB MCU. It runs the FFB firmware.",1,10.62,"https://www.aliexpress.com/item/1005009620785965.html?spm=a2g0o.productlist.main.1.535d15630eiPky&algo_pvid=2c8f865b-70be-4e0e-94db-818f2531dcac&algo_exp_id=2c8f865b-70be-4e0e-94db-818f2531dcac-0&pdp_ext_f=%7B%22order%22%3A%22555%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2113.99%2113.99%21%21%2167.23%2167.23%21%402101e2b217721562525755548e8f87%2112000049659011407%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=iACQ9ztcidY0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009620785965%7C_p_origin_prod%3A#nav-description","Aliexpress"
"TVS diode","P6KE36A TVS diode for power on the PCB",1,2.66,"https://www.aliexpress.com/item/1005008668996384.html?spm=a2g0o.productlist.main.3.4aafzSRuzSRuEZ&algo_pvid=bd2191ac-a9e6-4fb8-a882-36100d407a63&algo_exp_id=bd2191ac-a9e6-4fb8-a882-36100d407a63-2&pdp_ext_f=%7B%22order%22%3A%2243%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.71%213.71%21%21%2117.85%2117.85%21%402101d49617721566134604795e8004%2112000046167790507%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=yzE7XJPgJBo8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008668996384%7C_p_origin_prod%3A","Aliexpress"
"RP2350","RP2350 CAN is the devboard for the wheel rim. It has CAN included.",1,16.93,"https://www.aliexpress.com/item/1005008827015596.html?spm=a2g0o.productlist.main.27.7dfe5801TplWA9&algo_pvid=08775c8d-70db-4dc4-a46c-ab64ce72b444&algo_exp_id=08775c8d-70db-4dc4-a46c-ab64ce72b444-26&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2123.39%2123.39%21%21%2116.43%2116.43%21%402103129f17721471691216473e4379%2112000046843840523%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=vOb7IYHAYoA1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008827015596%7C_p_origin_prod%3A","Aliexpress"
"CAN resistor","120 ohm termination resistor for CAN bus.",2,1.35,"https://www.aliexpress.com/item/1005006730653425.html?spm=a2g0o.productlist.main.3.71e2DHFsDHFsBo&algo_pvid=4792a58b-ba7d-417a-a8f9-6b9100778656&algo_exp_id=4792a58b-ba7d-417a-a8f9-6b9100778656-2&pdp_ext_f=%7B%22order%22%3A%22186%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.81%211.41%21%21%211.27%210.99%21%402103212517721604286903793e9d23%2112000038116126737%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838588&curPageLogUid=c0lLXeUYCSua&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006730653425%7C_p_origin_prod%3A","Aliexpress"
"Shunt resistor","Constantan wire resistor for motor current sensing. 10mr 1.5x20",3,1.63,"https://www.aliexpress.com/item/1005003122854809.html?spm=a2g0o.productlist.main.3.74b0DwvBDwvB9C&aem_p4p_detail=202602231921512450754371729030011352552&algo_pvid=0917fda2-6079-4745-8ca0-69a6caeb421b&algo_exp_id=0917fda2-6079-4745-8ca0-69a6caeb421b-3&pdp_ext_f=%7B%22order%22%3A%22430%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.26%211.42%21%21%211.57%210.99%21%40210311c217719033114376370e5c18%2112000024218873110%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895%3BpisId%3A5000000197843401&curPageLogUid=jjHaL1Mq2xuj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003122854809%7C_p_origin_prod%3A&search_p4p_id=202602231921512450754371729030011352552_1","Aliexpress"
"Push Buttons","The pushbuttons are used for the steering rim as the controls.",8,1.54,"https://www.aliexpress.com/item/1005006341090307.html?spm=a2g0o.productlist.main.20.5cf57361Y8YztK&aem_p4p_detail=20260226150251321058939507660012928276&algo_pvid=4d10b748-2f81-4e0f-bd65-9ed277464cad&algo_exp_id=4d10b748-2f81-4e0f-bd65-9ed277464cad-19&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.14%212.14%21%21%2110.29%2110.29%21%40210328df17721469715053191e2c7c%2112000036820867468%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=qpi8KIvDRT09&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006341090307%7C_p_origin_prod%3A&search_p4p_id=20260226150251321058939507660012928276_6","Aliexpress"
"CAN transciever","SN65HVD230 Can transceiver for communicating between wheelbase and wheel rim",1,3.93,"https://www.aliexpress.com/item/1005006693506982.html?spm=a2g0o.productlist.main.5.2e092eb7tfUtti&algo_pvid=6bbce969-288b-40fc-94ae-1be761e42c9e&algo_exp_id=6bbce969-288b-40fc-94ae-1be761e42c9e-4&pdp_ext_f=%7B%22order%22%3A%22173%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.45%215.45%21%21%2126.12%2126.12%21%402101e2b217719045860566401e30ac%2112000050142930102%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7206fb8d%3Bm03_new_user%3A-29895&curPageLogUid=lR7HKQJall19&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006693506982%7C_p_origin_prod%3A","Aliexpress"
"Brake resistor","500W 3.3R brake resistor for motor control",1,20.19,"https://www.aliexpress.com/item/1005002672337729.html?spm=a2g0o.productlist.main.48.195cyrM4yrM4qr&algo_pvid=01faf767-fab9-4b6c-bf52-cc127d8ba5a5&algo_exp_id=01faf767-fab9-4b6c-bf52-cc127d8ba5a5-47&pdp_ext_f=%7B%22order%22%3A%221643%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%2111.50%211.41%21%21%218.08%210.99%21%402101e62517721567573211903ef9cf%2112000021648744011%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000197838595&curPageLogUid=hIX4clt2NvSe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002672337729%7C_p_origin_prod%3A#nav-specification","Aliexpress"
